Image,Text
page_1_line_1.png,क्रांतिसिंहांच्या ऐन तारुण्यापर्यंतचा महाराष्ट्र आणि सातारा जिल्हा
page_1_line_2.png,१९२८-१९३० ते १९७६ पर्यंत संपूर्ण महाराष्ट्राला गवसणी घालणारे एक
page_1_line_3.png,"वादळ मराठी माणसांच्या सामाजिक, राजकीय आणि सांस्कृतिक जीवनामध्ये"
page_1_line_4.png,"घोंघावत राहिले. क्रांतिसिह नाना पाटील हे या वादळाचे नाव. साधी सुती लुंगी,"
page_1_line_5.png,सुती नेहरू शर्ट आणि धिप्पाड शरीरयष्टी या वैशिष्ट्यांना घेऊन त्यांचे व्यक्तिमत्त्व
page_1_line_6.png,मराठी माणसांच्या समुद्रात माशासारखे विहार करीत राहिले. शडू ठोकल्याशिवाय
page_1_line_7.png,त्यांनी कधीच भाषणाला सुरुवात केली नाही. भाषण सुरू झाल्यावर ऐकणाऱ्याला
page_1_line_8.png,भोवतालच्या वास्तवाचे भानच राहू नये इतके सततच मंत्रमुग्ध केले. त्यांच्याच
page_1_line_9.png,"भाषणाला स्त्रिया, पुरुष, तरुण-तरुणी, मुली-मुले ५-१० गावांमधून बैलगाड्या"
page_1_line_10.png,जुंपून आलेले उभ्या महाराष्ट्राने अनुभवले. तीन-तीन तास चाललेले भाषण संपले
page_1_line_11.png,तरी अजून चाळूच राहावे अशी आस जनतेला त्यांच्या भाषणाविषयी नेहमीच
page_1_line_12.png,लागायची.
page_1_line_13.png,महाराष्ट्रातल्या गावागावाने नाना पाटलांना अंगाखांद्यावर वागवले. त्यांना
page_1_line_14.png,"वाद्य-संगीताच्या, लेझिमाच्या, बैलांच्या घुंगरांच्या तालात मिरवणुकींमधून मिरवले."
page_1_line_15.png,हजारो कुटुंबांनी त्यांना भाजी-भाकरी-पिठलं जेवायला घातले. शेकडो कुटुंबांनी
page_1_line_16.png,त्यांना घरच्याप्रमाणे आपल्या घरांमध्ये सामावून घेतले. त्यांचे विचार हजारो बाल
page_1_line_17.png,"मनांवर, तरुण मनांवर संस्कार करीत गेले. या संस्कारातूनच शेकडो कार्यकर्ते"
page_1_line_18.png,तयार झाले. जीवावर उदार होऊन स्वातंत्र्यासाठी लढणारे अनेक तरुण क्रांतिवीर
page_1_line_19.png,त्यांच्या विचारांच्या प्रभावाने घडत गेले. राबणाऱ्या जनतेच्या कुशीतून निपजलेले
page_1_line_21.png,शेकडो अर्धशिक्षित होतकरी-मजूर कार्यकर्ते त्यांच्या संस्कारांना उरा्की कवटाळून
page_1_line_22.png,गावागावांना घडवीत गेले. चळवळीची केंद्रे असलेली गावे उभारत.गेले.
page_1_line_23.png,पुस्तके वाचण्याबरोबर जीवन कसे वाचायचे याची शाळा क्रांतिसिह नाना
page_1_line_24.png,पाटलांनी ४७-४८ वर्षे सलगपणे चालवली. अनेक चढउतार त्यांच्या जीवनातआले.
page_1_line_25.png,व्यक्तिगत जीवनातही अनेक आघात झेलावे लागले. आपले म्हणवणाऱ्या
page_1_line_26.png,माणसांकडून जखमा सहन कराव्या लागल्या. क्रांतिसिंहाच्या चेहऱ्यावर दुःख कधी
page_1_line_27.png,"दिसले नाही. स्वतःच्या दुःखांवरही विनोद करीत, जनतेच्या दुःखांची उकलही"
page_1_line_28.png,विनोदाने घडवत त्यांनी क्रांतिकारी विचारच पेरला. आशा पेरली. निराशा कधीच
page_1_line_29.png,"पेरली नाही. महात्मा फुले, राजर्षी शाहू आणि डॉ. बाबासाहेब आंबेडकरांच्या"
page_2_line_1.png,महाराष्ट्रामध्ये हे एक आगळे ऐतिहासिक अक्रित घडले. महाराष्ट्राच्या इतिहासाने
page_2_line_2.png,त्यांना घडवले आणि त्यांनी महाराष्ट्राचा इतिहास घडवला.
page_2_line_3.png,महात्मा जोतीबा फुले यांनी आपली बहुतांश काव्यरचना 'अखंड' यास्वरूपात
page_2_line_4.png,केली. विद्रोही संत तुकारामांच्या 'अभंग' काव्यरचनेचा महान वारसा सांगत
page_2_line_5.png,जोतीबांनी 'अखंड' लिहिले. ३ ऑगष्ट १९०० रोजी वाळवे तालुक्‍यातील यडे मच्छिंद्र
page_2_line_6.png,या खेड्यात जन्माला आलेल्या नाना पाटलांनी 'अखंड' क्रांतिकारी जीवन जगून
page_2_line_7.png,विद्रोही संत तुकाराम आणि महात्मा फुले यांची परंपरा आधुनिक काळात पुढे नेली.
page_2_line_8.png,तत्कालीन सातारा जिल्ह्याची क्रांतिकारी परंपरा उज्ज्वल केली. १५ ऑगष्ट १९४७
page_2_line_9.png,"नंतर शेतकरी कामगार पक्ष', 'कामगार किसान पक्ष' आणि 'कम्युनिस्ट पक्ष असा"
page_2_line_10.png,प्रवास करून आंतरराष्ट्रीय क्रांतिकारी परंपरेशी नाते जोडले. देशी
page_2_line_11.png,क्रांतिकारकत्वाला धक्का न लावता आंतरराष्ट्रीय क्रांतिकारक विचारांचा स्विकार
page_2_line_12.png,केला. अशा क्रांतिसिह नाना पाटील यांचा जन्म ज्या काळात झाला त्या काळात
page_2_line_13.png,"त्यांच्यावर संस्कार करणारा महाराष्ट्र आणि सातारा जिल्हा कोणत्या सामाजिक,"
page_2_line_14.png,राजकीय आणि आर्थिक अवस्थेत होता हे समजून घेणे महत्त्वाचे आहे.
page_2_line_15.png,महात्मा फुलेंच्या मृत्युनंतर दहा वर्षांनी नाना पाटलांचा जन्म झाला. राजर्षी
page_2_line_16.png,"शाहुमहाराजांनी ब्राह्मण, प्रभु, पारशी, शेणवी अशा पुढारलेल्या जात-धर्म विभागांच्या"
page_2_line_17.png,लोकांना वगळून इतर सर्वासाठी राखीव जागा ठेवण्याचा जगाच्या पातळीवर
page_2_line_18.png,महत्त्वाचा ठरणारा ऐतिहासिक निर्णय घेतला तो क्रांतिसिंहाच्या जन्मानंतर दोनच
page_2_line_19.png,"वर्षांनी म्हणजे १९०२ साली. नाना पाटील ऐन तारुण्याच्या उंबरठ्यावर असताना,"
page_2_line_20.png,"१९१९ ते १९२१ या काळात, सातारा जिल्ह्यातील कूळ शेतकरी,आणि बलुतेदारांचा"
page_2_line_21.png,संयुक्त संप आणि संघर्ष ग्रामीण भागातील परिवर्तनाची वाट उजळून गेला. १९१०
page_2_line_22.png,सालापासून पुढे सातारा जिल्ह्यात सत्यशोधक तमाशांचे कसदार पीक उभारून येऊ
